Date,Open,High,Low,Close,Volume
4-Aug-16,18.74,18.81,18.46,18.72,11241800
3-Aug-16,18.75,18.83,18.59,18.64,11587200
2-Aug-16,18.93,18.97,18.72,18.84,7868400
1-Aug-16,18.89,19.06,18.63,19.00,10199500
29-Jul-16,18.92,19.06,18.71,18.80,32526200
28-Jul-16,19.30,19.46,19.22,19.44,7427600
27-Jul-16,19.45,19.45,19.26,19.32,6198000
26-Jul-16,19.40,19.52,19.20,19.35,7288800
25-Jul-16,19.32,19.42,19.19,19.39,9494100
22-Jul-16,19.24,19.46,19.11,19.39,8896300
21-Jul-16,19.12,19.25,18.95,19.20,7727600
20-Jul-16,19.12,19.26,19.01,19.12,9960100
19-Jul-16,19.05,19.19,18.97,19.17,8887600
18-Jul-16,18.95,19.10,18.91,19.06,11527100
15-Jul-16,19.09,19.10,18.85,18.95,8993300
14-Jul-16,19.20,19.20,19.01,19.10,16508600
13-Jul-16,19.15,19.22,19.02,19.10,11296800
12-Jul-16,19.36,19.39,19.21,19.30,7600000
11-Jul-16,19.45,19.45,19.21,19.40,10295700
8-Jul-16,19.18,19.57,19.10,19.40,12454400
7-Jul-16,19.18,19.30,19.01,19.10,8912100
6-Jul-16,19.23,19.28,18.97,19.18,11237100
5-Jul-16,18.97,19.32,18.96,19.29,13360700
4-Jul-16,19.22,19.29,18.98,19.06,6685900
1-Jul-16,19.08,19.22,18.99,19.22,22751300
30-Jun-16,19.00,19.11,18.80,19.05,15320000
29-Jun-16,18.92,19.13,18.78,19.02,14035100
28-Jun-16,18.90,18.94,18.66,18.75,13425200
27-Jun-16,18.28,18.87,18.22,18.71,10172100
24-Jun-16,18.10,18.54,18.07,18.48,11674400
23-Jun-16,18.40,18.65,18.38,18.51,7579900
22-Jun-16,18.59,18.62,18.24,18.32,15293900
21-Jun-16,18.66,18.69,18.49,18.58,13338100
20-Jun-16,18.73,18.84,18.50,18.59,12832200
17-Jun-16,18.77,18.79,18.38,18.61,15914600
16-Jun-16,18.32,18.78,18.32,18.67,9980800
15-Jun-16,18.60,18.76,18.30,18.48,18855800
14-Jun-16,18.85,18.89,18.42,18.57,16100200
13-Jun-16,18.57,18.95,18.57,18.91,8281000
10-Jun-16,19.15,19.15,18.72,18.72,12842400
9-Jun-16,19.20,19.29,19.04,19.16,8334600
8-Jun-16,19.05,19.34,18.98,19.27,16167600
7-Jun-16,19.37,19.41,18.97,19.09,12641200
6-Jun-16,19.48,19.60,19.32,19.42,8484400
3-Jun-16,19.34,19.58,19.27,19.50,15218200
2-Jun-16,19.30,19.31,19.07,19.28,12174300
1-Jun-16,18.99,19.37,18.90,19.34,12641000
31-May-16,19.10,19.23,18.95,19.11,21745400
30-May-16,19.19,19.26,19.07,19.15,3840600
27-May-16,18.95,19.38,18.93,19.30,15249100
25-May-16,18.75,19.17,18.68,18.98,21082200
24-May-16,18.55,18.74,18.43,18.69,7030400
23-May-16,18.32,18.51,18.31,18.44,8803400
20-May-16,18.60,18.71,18.51,18.54,7361900
19-May-16,18.32,18.68,18.30,18.60,12226000
18-May-16,18.49,18.67,18.37,18.40,12829900
17-May-16,18.72,18.77,18.43,18.56,11176700
16-May-16,18.60,18.86,18.60,18.77,6376500
13-May-16,19.25,19.25,18.71,18.76,10128100
12-May-16,18.97,19.26,18.81,19.18,23565200
11-May-16,19.20,19.21,18.81,18.86,10651400
10-May-16,19.10,19.11,18.81,19.09,12172500
9-May-16,18.78,19.06,18.60,18.89,18471600
6-May-16,19.09,19.25,18.82,18.84,10961600
5-May-16,19.58,19.59,19.11,19.14,11505500
4-May-16,19.28,19.62,19.09,19.60,18980000
3-May-16,19.37,19.71,19.21,19.59,14308400
2-May-16,19.35,19.59,19.35,19.51,10835500
29-Apr-16,19.45,19.45,19.08,19.39,23821800
28-Apr-16,19.33,19.53,19.26,19.46,11968200
27-Apr-16,19.33,19.43,19.17,19.36,17887200
26-Apr-16,19.21,19.25,19.06,19.24,13140700
25-Apr-16,19.20,19.23,19.05,19.13,5572900
22-Apr-16,18.86,19.45,18.86,19.16,12387400
20-Apr-16,19.01,19.28,19.01,19.20,13661500
19-Apr-16,19.00,19.29,18.82,19.16,10829400
18-Apr-16,18.99,19.12,18.80,18.96,13389700
15-Apr-16,18.78,19.05,18.69,18.99,14982900
14-Apr-16,18.39,18.84,18.35,18.74,16363900
13-Apr-16,18.56,18.71,18.37,18.39,19828700
12-Apr-16,18.22,18.45,18.15,18.37,10876600
11-Apr-16,18.70,18.71,18.20,18.20,14472800
8-Apr-16,18.82,18.96,18.40,18.57,17367200
7-Apr-16,18.70,18.95,18.55,18.57,8010200
6-Apr-16,18.56,18.73,18.45,18.58,6597800
5-Apr-16,18.49,18.87,18.40,18.79,7871300
4-Apr-16,18.70,18.73,18.46,18.58,8557100
1-Apr-16,18.53,18.99,18.53,18.86,14932800
31-Mar-16,18.91,19.05,18.60,18.82,16739300
30-Mar-16,19.50,19.50,19.12,19.15,11040100
29-Mar-16,19.32,19.57,19.26,19.34,20844000
28-Mar-16,19.15,19.37,19.07,19.30,12372300
24-Mar-16,18.89,19.20,18.84,19.00,20998600
23-Mar-16,18.64,19.09,18.60,19.00,19011000
22-Mar-16,18.70,18.74,18.49,18.74,10425400
21-Mar-16,18.32,18.78,18.32,18.73,14698900
18-Mar-16,18.79,18.89,18.37,18.42,26770700
17-Mar-16,18.70,18.74,18.32,18.73,26720700
16-Mar-16,18.18,18.30,17.87,18.29,12526400
15-Mar-16,17.90,18.30,17.80,18.30,12347400
14-Mar-16,18.25,18.34,17.92,18.04,10950700
11-Mar-16,18.52,18.78,18.04,18.22,22639400
10-Mar-16,18.77,18.97,18.24,18.63,28065400
9-Mar-16,19.24,19.25,18.58,18.65,21459800
8-Mar-16,19.19,19.22,18.84,19.05,23245800
7-Mar-16,19.20,19.39,18.94,19.17,17079300
4-Mar-16,18.79,19.20,18.61,19.11,37209600
3-Mar-16,18.27,18.59,18.15,18.44,21509400
2-Mar-16,18.30,18.38,17.95,18.14,16032100
1-Mar-16,17.78,18.39,17.67,18.25,17549200
29-Feb-16,17.90,17.99,17.51,17.64,15340300
26-Feb-16,17.89,17.93,17.51,17.63,9258400
25-Feb-16,17.68,17.85,17.47,17.71,15404600
24-Feb-16,18.06,18.18,17.85,18.18,10037500
23-Feb-16,18.65,18.65,18.10,18.26,11394800
22-Feb-16,18.66,18.82,18.44,18.59,14696300
19-Feb-16,18.25,18.39,18.11,18.32,6644100
18-Feb-16,18.12,18.40,18.09,18.40,9991500
17-Feb-16,18.15,18.64,18.02,18.26,18798000
16-Feb-16,17.98,18.23,17.88,17.97,10301800
15-Feb-16,18.08,18.18,17.85,17.92,6378400
12-Feb-16,17.98,18.07,17.77,17.92,9627500
11-Feb-16,17.66,17.86,17.53,17.85,11956300
10-Feb-16,17.96,18.00,17.57,17.94,11694700
5-Feb-16,18.40,18.65,18.08,18.14,10973700
4-Feb-16,18.34,18.68,18.25,18.36,18556300
3-Feb-16,18.12,18.15,17.60,18.10,11406600
2-Feb-16,18.11,18.40,17.92,17.98,16351800
1-Feb-16,18.31,18.55,17.91,18.40,12665300
29-Jan-16,18.10,18.66,17.96,18.66,20667000
28-Jan-16,17.84,18.31,17.52,17.89,17343800
27-Jan-16,16.81,17.96,16.80,17.82,28371900
26-Jan-16,16.70,16.89,16.55,16.84,13892700
22-Jan-16,16.42,16.85,16.42,16.85,15564500
21-Jan-16,16.53,16.65,16.20,16.32,11049800
20-Jan-16,16.53,16.74,16.31,16.54,12363400
19-Jan-16,16.51,16.85,16.41,16.75,9628400
18-Jan-16,16.53,16.56,16.24,16.24,9267800
15-Jan-16,16.65,16.70,15.99,16.59,19870300
14-Jan-16,16.94,16.94,16.52,16.85,12325600
13-Jan-16,17.12,17.25,16.72,16.83,10709300
12-Jan-16,16.94,17.04,16.78,16.98,9573800
11-Jan-16,17.19,17.29,16.75,16.80,12772700
8-Jan-16,16.93,17.20,16.93,17.07,10684000
7-Jan-16,17.17,17.32,16.85,16.85,15316400
6-Jan-16,17.36,17.48,17.20,17.31,7739100
5-Jan-16,17.25,17.52,17.11,17.48,10774200
4-Jan-16,17.73,17.73,17.21,17.21,13206900
30-Dec-15,18.11,18.29,17.85,17.85,12124900
29-Dec-15,18.09,18.29,18.05,18.20,5349200
28-Dec-15,18.12,18.22,18.00,18.14,6944200
23-Dec-15,18.05,18.25,17.90,18.20,17338900
22-Dec-15,18.00,18.03,17.63,17.95,8177900
21-Dec-15,17.80,18.30,17.80,18.00,10020100
18-Dec-15,17.85,18.11,17.65,17.80,17606900
17-Dec-15,18.45,18.84,17.99,18.15,12171600
16-Dec-15,17.77,18.25,17.71,18.14,7503000
15-Dec-15,18.15,18.28,17.85,17.85,7731000
14-Dec-15,18.25,18.35,18.00,18.05,5569100
11-Dec-15,18.21,18.58,18.17,18.28,12955200
10-Dec-15,18.56,18.56,18.12,18.30,7614900
9-Dec-15,18.39,18.71,18.25,18.48,16405500
8-Dec-15,18.60,18.72,18.10,18.14,11314500
7-Dec-15,18.64,18.78,18.50,18.60,8867400
4-Dec-15,18.69,18.88,18.48,18.54,10023600
3-Dec-15,19.05,19.08,18.56,18.75,12202900
2-Dec-15,18.67,18.75,18.42,18.44,14091700
1-Dec-15,18.68,18.78,18.50,18.73,20948100
30-Nov-15,18.45,18.98,18.40,18.64,39752000
27-Nov-15,18.77,18.81,18.55,18.57,9033800
26-Nov-15,18.60,18.88,18.58,18.81,7714800
25-Nov-15,18.72,18.89,18.44,18.60,18368400
24-Nov-15,19.05,19.07,18.76,18.94,6857400
23-Nov-15,19.36,19.50,19.03,19.06,13872300
19-Nov-15,19.41,19.45,19.17,19.35,11739300
18-Nov-15,19.12,19.42,19.07,19.17,8336700
17-Nov-15,19.30,19.30,19.08,19.12,6543500
16-Nov-15,19.06,19.24,18.89,19.05,13417700
13-Nov-15,18.89,19.19,18.77,19.10,9261500
12-Nov-15,19.05,19.30,18.80,18.89,9162900
11-Nov-15,18.71,19.08,18.70,19.06,10481500
10-Nov-15,18.57,18.69,18.20,18.63,9017200
9-Nov-15,18.97,19.10,18.53,18.70,7913700
6-Nov-15,19.37,19.44,18.86,18.97,8697400
5-Nov-15,19.49,19.66,19.24,19.46,9070300
4-Nov-15,19.69,19.79,19.25,19.60,10099700
3-Nov-15,19.10,19.60,18.94,19.60,13346300
30-Oct-15,18.87,19.26,18.70,19.09,11810200
29-Oct-15,19.12,19.38,19.00,19.00,9314100
28-Oct-15,19.65,19.67,19.27,19.43,16007900
27-Oct-15,19.60,19.86,19.47,19.81,13470900
26-Oct-15,19.80,19.87,19.57,19.68,7086000
23-Oct-15,20.04,20.04,19.68,19.77,8594600
22-Oct-15,19.71,19.94,19.50,19.66,15156500
21-Oct-15,19.65,19.89,19.54,19.70,11834300
20-Oct-15,19.43,19.58,19.22,19.58,8180800
19-Oct-15,19.30,19.47,19.11,19.47,7614400
16-Oct-15,19.15,19.46,18.85,19.29,12113300
15-Oct-15,18.54,19.21,18.26,19.11,22542700
14-Oct-15,18.70,19.06,18.30,18.40,33609000
13-Oct-15,19.75,19.75,18.52,18.70,26257200
9-Oct-15,19.95,19.95,19.38,19.79,10726000
8-Oct-15,20.00,20.14,19.53,19.68,16571100
7-Oct-15,20.11,20.15,19.84,20.00,14604700
6-Oct-15,20.40,20.44,19.72,19.89,11674100
5-Oct-15,20.33,20.46,20.19,20.35,7807400
2-Oct-15,19.59,20.12,19.56,20.06,10161100
1-Oct-15,19.41,19.81,19.35,19.70,11087300
30-Sep-15,19.60,19.75,19.35,19.42,11798200
29-Sep-15,19.28,19.53,19.20,19.36,9025100
28-Sep-15,19.32,19.41,19.05,19.28,8005900
25-Sep-15,19.30,19.72,19.04,19.30,8936200
24-Sep-15,18.85,19.33,18.71,19.12,12373800
23-Sep-15,19.42,19.44,19.10,19.17,14421300
22-Sep-15,19.21,19.44,19.08,19.40,12317400
21-Sep-15,19.26,19.60,19.21,19.33,8210100
18-Sep-15,19.30,19.77,19.22,19.47,17660500
17-Sep-15,19.27,19.77,19.26,19.49,15086700
16-Sep-15,19.50,19.63,19.22,19.45,33062500
15-Sep-15,18.94,19.20,18.81,19.06,12594200
14-Sep-15,18.90,19.03,18.68,18.86,16201500
11-Sep-15,19.08,19.13,18.75,18.86,12003400
10-Sep-15,18.62,19.44,18.55,19.17,15595200
9-Sep-15,19.65,19.82,19.14,19.21,12535200
8-Sep-15,20.07,20.18,19.45,19.61,12947400
4-Sep-15,19.45,19.87,19.38,19.85,28728600
3-Sep-15,19.28,19.68,18.96,19.63,19090100
2-Sep-15,18.87,19.17,18.65,19.14,16687100
1-Sep-15,18.65,19.00,18.62,18.71,14910000
31-Aug-15,19.00,19.15,18.55,19.09,20812000
28-Aug-15,19.02,19.20,18.82,19.20,11627800
27-Aug-15,19.00,19.35,18.75,19.10,15898200
26-Aug-15,18.52,18.90,18.43,18.85,14146500
25-Aug-15,18.38,18.60,18.10,18.40,22123700
24-Aug-15,17.35,18.09,16.96,17.96,25827300
21-Aug-15,18.32,18.43,18.04,18.13,11858300
20-Aug-15,18.05,18.52,17.93,18.43,12282700
19-Aug-15,18.56,18.80,18.15,18.20,16320900
18-Aug-15,18.54,19.23,18.46,18.78,18256100
17-Aug-15,18.60,18.75,18.50,18.55,10600600
14-Aug-15,18.68,18.80,18.56,18.61,8435300
13-Aug-15,18.97,19.14,18.61,18.75,11002300
12-Aug-15,19.50,19.65,18.78,18.84,26113200
11-Aug-15,19.57,19.62,19.35,19.55,10770600
10-Aug-15,19.52,19.70,19.44,19.57,8286700
7-Aug-15,19.76,19.85,19.37,19.52,10011300
