Date,Open,High,Low,Close,Volume
4-Aug-16,18.37,19.23,18.21,19.00,12177100
3-Aug-16,18.14,18.47,17.81,18.20,14846900
2-Aug-16,18.57,18.66,18.15,18.27,12286600
1-Aug-16,19.25,19.27,18.60,18.77,9309300
29-Jul-16,19.25,19.42,19.00,19.09,27906800
28-Jul-16,18.81,19.29,18.73,19.20,6617300
27-Jul-16,19.16,19.43,18.87,18.87,20707900
26-Jul-16,19.12,19.20,19.07,19.08,17504000
25-Jul-16,19.35,19.52,18.96,19.20,5363700
22-Jul-16,19.54,19.65,19.29,19.32,10259000
21-Jul-16,19.40,19.70,19.20,19.35,10283300
20-Jul-16,20.25,20.30,19.30,19.35,14892900
19-Jul-16,20.30,20.76,19.80,20.20,9208700
18-Jul-16,20.09,20.43,19.98,20.37,12503700
15-Jul-16,19.75,20.35,19.73,20.10,6814000
14-Jul-16,19.40,20.00,19.23,19.82,11911700
13-Jul-16,18.75,19.29,18.68,19.12,6967300
12-Jul-16,18.50,18.90,18.45,18.70,5867200
11-Jul-16,18.25,18.49,18.22,18.42,6918500
8-Jul-16,17.90,18.22,17.80,18.15,6139500
7-Jul-16,17.52,17.81,17.41,17.63,5473800
6-Jul-16,17.41,17.75,17.24,17.50,5631900
5-Jul-16,17.90,17.90,17.47,17.65,6410100
4-Jul-16,18.00,18.17,17.81,18.00,3900200
1-Jul-16,18.00,18.00,17.71,17.90,7185600
30-Jun-16,17.26,18.00,17.26,18.00,16664900
29-Jun-16,17.35,17.62,17.20,17.20,8806500
28-Jun-16,16.94,17.24,16.92,17.15,7582600
27-Jun-16,16.70,16.99,16.44,16.72,4566800
24-Jun-16,16.50,17.08,16.35,16.91,8425800
23-Jun-16,17.03,17.38,16.80,17.21,4988100
22-Jun-16,16.90,17.35,16.62,16.97,7586400
21-Jun-16,16.64,17.05,16.51,16.93,8341500
20-Jun-16,16.41,16.84,16.33,16.65,9949300
17-Jun-16,16.29,16.32,16.05,16.07,13620300
16-Jun-16,16.01,16.13,15.82,16.13,12397900
15-Jun-16,15.79,16.53,15.62,16.19,14650800
14-Jun-16,15.89,15.90,15.40,15.82,12643400
13-Jun-16,15.97,16.05,15.85,15.90,6644600
10-Jun-16,16.62,16.76,16.13,16.13,6939700
9-Jun-16,16.74,16.91,16.62,16.80,9218700
8-Jun-16,16.33,16.92,16.27,16.80,10274200
7-Jun-16,16.33,16.43,15.98,16.22,6334100
6-Jun-16,16.73,16.75,16.37,16.44,9038800
3-Jun-16,16.14,16.70,16.02,16.64,14594100
2-Jun-16,16.02,16.35,15.96,16.20,7868400
1-Jun-16,15.86,16.09,15.79,16.04,9495900
31-May-16,15.95,16.16,15.74,15.92,16730300
30-May-16,16.07,16.19,15.98,16.00,1511200
27-May-16,16.20,16.24,15.95,16.19,6719500
