Date,Open,High,Low,Close,Volume
4-Aug-16,14.44,14.71,14.36,14.59,5360500
3-Aug-16,14.32,14.53,14.31,14.40,3853600
2-Aug-16,14.30,14.73,14.11,14.37,3972500
1-Aug-16,14.96,15.20,14.25,14.25,5675500
29-Jul-16,16.70,16.70,14.80,14.83,13631700
28-Jul-16,17.45,17.63,17.28,17.54,1000300
27-Jul-16,17.64,17.81,17.49,17.49,1233900
26-Jul-16,17.23,17.61,17.20,17.51,1195700
25-Jul-16,17.30,17.44,17.18,17.32,842200
22-Jul-16,17.00,17.47,17.00,17.37,1196200
21-Jul-16,17.09,17.22,16.90,17.09,1365600
20-Jul-16,17.51,17.51,17.00,17.13,2304900
19-Jul-16,17.20,17.67,17.20,17.38,2137800
18-Jul-16,17.40,17.40,16.85,17.20,2590200
15-Jul-16,18.01,18.07,17.40,17.41,2191800
14-Jul-16,17.94,18.02,17.63,17.88,1796300
13-Jul-16,18.00,18.10,17.53,17.87,2037100
12-Jul-16,17.77,18.00,17.56,17.98,2194000
11-Jul-16,18.07,18.15,17.66,17.71,1590800
8-Jul-16,17.84,17.86,17.49,17.84,1170300
7-Jul-16,17.90,18.26,17.58,17.66,1566500
6-Jul-16,17.85,17.91,17.43,17.76,1057400
5-Jul-16,18.54,18.62,17.54,17.71,1659900
4-Jul-16,17.70,18.40,17.63,18.29,1053000
1-Jul-16,17.64,17.70,17.51,17.65,1565600
30-Jun-16,17.59,17.82,17.15,17.50,2331600
29-Jun-16,17.53,17.72,17.31,17.52,2429000
28-Jun-16,17.96,18.06,17.37,17.40,1573400
27-Jun-16,18.02,18.16,17.61,17.81,1378500
24-Jun-16,18.00,18.20,17.69,18.15,2158700
23-Jun-16,18.11,18.52,18.02,18.52,1424000
22-Jun-16,18.49,18.66,18.11,18.20,1428800
21-Jun-16,17.87,18.46,17.59,18.35,1582700
20-Jun-16,18.15,18.33,17.89,17.90,1177100
17-Jun-16,18.40,18.50,17.94,17.96,2609600
16-Jun-16,17.52,18.24,17.50,18.24,2630700
15-Jun-16,17.28,17.73,17.23,17.38,2690700
14-Jun-16,17.84,17.84,17.15,17.35,2485200
13-Jun-16,17.50,17.89,17.22,17.81,1645600
10-Jun-16,18.40,18.40,17.51,17.51,2138300
9-Jun-16,18.75,18.82,18.33,18.44,1483500
8-Jun-16,18.86,18.99,18.61,18.67,1857800
7-Jun-16,18.60,19.03,18.52,18.93,1632200
6-Jun-16,18.89,18.89,18.54,18.65,1206500
3-Jun-16,19.08,19.18,18.52,18.70,2109700
2-Jun-16,18.60,19.16,18.55,19.04,1552500
1-Jun-16,18.72,18.98,18.65,18.75,1426400
31-May-16,18.70,19.02,18.66,18.80,3006900
30-May-16,19.16,19.35,18.61,18.65,845400
27-May-16,19.15,19.34,18.86,19.06,1906500
25-May-16,19.19,19.43,18.97,19.05,2098500
24-May-16,19.13,19.18,18.73,19.16,1304300
23-May-16,19.01,19.12,18.80,18.96,1702100
20-May-16,19.00,19.21,18.75,18.95,1022500
19-May-16,19.15,19.48,19.04,19.10,3116800
18-May-16,18.67,19.12,18.41,19.00,2128600
17-May-16,18.58,18.92,18.58,18.68,1466200
16-May-16,18.58,18.93,18.15,18.75,1017100
13-May-16,18.75,18.85,18.42,18.66,2265500
12-May-16,19.16,19.47,18.75,18.86,2598900
11-May-16,19.87,20.04,19.18,19.18,1793900
10-May-16,19.52,19.76,19.20,19.66,2980200
9-May-16,19.12,19.90,18.98,19.43,3296000
6-May-16,19.91,20.14,19.15,19.15,2347700
5-May-16,20.10,20.24,19.77,19.92,3804000
4-May-16,20.43,20.44,19.97,20.11,2107100
3-May-16,20.10,20.54,20.00,20.25,2761400
2-May-16,20.50,20.50,19.83,20.20,3388500
