Date,Open,High,Low,Close,Volume
5-Aug-16,27.15,27.39,27.02,27.33,1636100
4-Aug-16,27.30,27.70,26.96,27.09,2685800
3-Aug-16,26.51,27.40,26.51,27.28,1534700
2-Aug-16,26.84,27.12,26.55,26.76,1604300
1-Aug-16,27.24,27.35,26.68,26.88,2785800
29-Jul-16,27.39,27.73,27.27,27.45,2698000
28-Jul-16,26.73,27.34,26.72,27.29,3362000
27-Jul-16,26.52,27.16,26.44,27.06,3783000
26-Jul-16,25.90,26.73,25.89,26.50,3890000
25-Jul-16,26.21,26.25,25.60,26.00,6935800
22-Jul-16,25.74,25.91,25.50,25.65,3126900
21-Jul-16,25.76,25.76,25.35,25.60,4231000
20-Jul-16,25.90,25.99,25.01,25.67,3115900
19-Jul-16,25.35,25.80,25.12,25.65,2870200
18-Jul-16,25.24,25.40,24.99,25.35,1533200
15-Jul-16,25.19,25.35,24.94,25.30,2589900
14-Jul-16,25.40,25.45,25.10,25.28,2742700
13-Jul-16,24.87,25.74,24.65,24.97,3370800
12-Jul-16,24.90,24.98,24.55,24.73,3543300
11-Jul-16,24.98,25.09,24.52,24.75,4572100
8-Jul-16,24.70,24.88,24.52,24.71,6187700
7-Jul-16,23.89,24.70,23.71,24.41,6071300
6-Jul-16,24.10,24.10,23.58,23.70,2520300
5-Jul-16,24.30,24.40,23.81,24.12,2549500
4-Jul-16,23.90,24.75,23.86,24.40,4738900
1-Jul-16,23.70,23.90,23.42,23.76,9835000
30-Jun-16,22.95,23.44,22.50,23.34,13692500
29-Jun-16,26.13,26.13,22.25,22.25,34484000
28-Jun-16,26.50,27.40,25.90,25.95,9005600
27-Jun-16,27.95,28.60,27.94,28.35,1085700
24-Jun-16,28.01,28.61,27.95,28.32,2250600
23-Jun-16,28.57,29.11,28.35,28.85,2580300
22-Jun-16,28.62,28.73,28.13,28.43,2095200
21-Jun-16,28.27,28.83,28.27,28.71,2286400
20-Jun-16,28.40,28.86,28.29,28.41,2165600
17-Jun-16,28.00,28.20,27.72,27.90,3199700
16-Jun-16,27.86,27.96,27.42,27.90,1780200
15-Jun-16,27.82,28.35,27.65,27.95,2726600
14-Jun-16,28.16,28.39,27.50,27.77,2121500
13-Jun-16,28.33,28.67,28.10,28.30,1802000
10-Jun-16,28.87,28.87,28.40,28.59,1425200
9-Jun-16,29.16,29.40,28.83,29.02,810900
8-Jun-16,29.13,29.58,28.95,29.11,1682500
7-Jun-16,29.01,29.19,28.63,29.00,1265600
6-Jun-16,29.56,29.60,28.97,29.14,1252500
3-Jun-16,29.30,29.44,28.98,29.27,2078600
2-Jun-16,28.33,28.97,28.27,28.78,2713800
1-Jun-16,28.37,28.74,27.99,28.30,2951400
31-May-16,28.45,28.73,28.12,28.50,2957500
30-May-16,28.17,28.92,28.17,28.59,607800
27-May-16,28.62,29.02,28.17,28.44,1836800
25-May-16,29.32,29.34,28.60,28.62,3054500
24-May-16,29.32,29.61,28.96,29.09,1989900
23-May-16,28.50,29.53,28.50,29.27,2334700
20-May-16,29.94,30.14,29.39,29.64,1996000
