Date,Open,High,Low,Close,Volume
3-Aug-16,2.42,2.49,2.42,2.49,94100
2-Aug-16,2.54,2.54,2.40,2.42,224300
1-Aug-16,2.65,2.66,2.50,2.52,362800
29-Jul-16,2.69,2.70,2.61,2.61,217700
28-Jul-16,2.69,2.69,2.60,2.69,247700
27-Jul-16,2.66,2.71,2.58,2.60,192800
26-Jul-16,2.70,2.81,2.62,2.63,481700
25-Jul-16,2.80,2.80,2.63,2.63,221800
17-Aug-15,3.95,3.95,3.93,3.95,27000
14-Aug-15,3.90,3.97,3.87,3.95,546300
13-Aug-15,3.87,3.92,3.80,3.90,143000
12-Aug-15,3.95,4.01,3.80,3.87,182500
11-Aug-15,4.04,4.07,3.92,4.01,88200
10-Aug-15,4.02,4.05,3.98,4.02,36600
7-Aug-15,4.10,4.10,3.92,4.00,111100
