Date,Open,High,Low,Close,Volume
3-Aug-16,2.42,2.49,2.42,2.49,94100
2-Aug-16,2.54,2.54,2.40,2.42,224300
1-Aug-16,2.65,2.66,2.50,2.52,362800
29-Jul-16,2.69,2.70,2.61,2.61,217700
28-Jul-16,2.69,2.69,2.60,2.69,247700
27-Jul-16,2.66,2.71,2.58,2.60,192800
26-Jul-16,2.70,2.81,2.62,2.63,481700
25-Jul-16,2.80,2.80,2.63,2.63,221800
22-Jul-16,2.63,2.75,2.62,2.74,191900
21-Jul-16,2.57,2.65,2.57,2.63,234600
20-Jul-16,2.50,2.58,2.46,2.57,230400
19-Jul-16,2.43,2.49,2.40,2.49,181600
18-Jul-16,2.39,2.43,2.37,2.43,109800
15-Jul-16,2.41,2.43,2.34,2.38,109700
14-Jul-16,2.37,2.42,2.37,2.41,143100
13-Jul-16,2.38,2.38,2.35,2.37,45000
12-Jul-16,2.32,2.39,2.32,2.39,139000
11-Jul-16,2.31,2.33,2.28,2.30,65900
8-Jul-16,2.39,2.39,2.25,2.28,238500
7-Jul-16,2.41,2.41,2.34,2.34,38200
6-Jul-16,2.40,2.42,2.35,2.41,84300
5-Jul-16,2.46,2.48,2.39,2.41,229400
4-Jul-16,2.36,2.43,2.36,2.43,79000
1-Jul-16,2.34,2.39,2.32,2.36,123100
30-Jun-16,2.27,2.31,2.22,2.31,105700
29-Jun-16,2.21,2.26,2.20,2.26,105500
28-Jun-16,2.24,2.27,2.19,2.20,311900
27-Jun-16,2.26,2.30,2.20,2.25,143500
24-Jun-16,2.35,2.35,2.24,2.25,451100
23-Jun-16,2.26,2.36,2.25,2.36,104700
22-Jun-16,2.36,2.36,2.26,2.26,224400
21-Jun-16,2.39,2.39,2.31,2.32,211500
20-Jun-16,2.45,2.48,2.36,2.39,221300
17-Jun-16,2.49,2.49,2.43,2.45,41200
16-Jun-16,2.43,2.44,2.40,2.42,46000
15-Jun-16,2.46,2.48,2.40,2.42,91100
14-Jun-16,2.53,2.53,2.45,2.45,131300
13-Jun-16,2.55,2.55,2.50,2.50,68700
10-Jun-16,2.53,2.56,2.49,2.56,50300
9-Jun-16,2.53,2.54,2.49,2.54,60500
8-Jun-16,2.59,2.61,2.48,2.53,222700
7-Jun-16,2.64,2.64,2.56,2.56,59600
6-Jun-16,2.63,2.64,2.58,2.64,44600
3-Jun-16,2.62,2.63,2.59,2.63,71300
2-Jun-16,2.61,2.65,2.61,2.65,37600
1-Jun-16,2.66,2.66,2.57,2.60,63500
31-May-16,2.70,2.70,2.61,2.67,136000
30-May-16,2.74,2.74,2.67,2.70,21200
27-May-16,2.73,2.73,2.68,2.69,83700
25-May-16,2.75,2.76,2.69,2.72,104400
24-May-16,2.81,2.83,2.75,2.75,59900
23-May-16,2.90,2.90,2.82,2.82,28700
20-May-16,2.83,2.90,2.82,2.90,57900
19-May-16,2.80,2.85,2.80,2.84,20500
18-May-16,2.82,2.84,2.79,2.84,44400
17-May-16,2.76,2.83,2.76,2.82,40100
16-May-16,2.75,2.81,2.71,2.81,77100
13-May-16,2.77,2.79,2.75,2.75,39100
12-May-16,2.83,2.83,2.75,2.77,46300
11-May-16,2.83,2.85,2.78,2.78,83300
10-May-16,2.76,2.83,2.73,2.83,56600
9-May-16,2.78,2.78,2.72,2.74,65200
6-May-16,2.80,2.82,2.73,2.82,145500
5-May-16,2.78,2.80,2.71,2.80,121300
