Date,Open,High,Low,Close,Volume
2-Aug-16,40.03,40.31,39.43,39.84,953700
1-Aug-16,40.30,40.58,39.65,40.49,665800
29-Jul-16,39.11,40.30,38.65,40.30,1021000
28-Jul-16,38.61,39.00,37.09,39.00,759500
27-Jul-16,38.11,38.20,37.97,38.15,1732500
26-Jul-16,38.24,38.36,37.81,38.20,935000
25-Jul-16,38.72,38.73,37.69,38.35,1521800
22-Jul-16,37.90,39.13,37.67,38.80,2921200
21-Jul-16,37.11,37.34,35.96,36.77,497100
20-Jul-16,37.28,37.36,36.52,36.88,923900
19-Jul-16,36.90,37.19,36.35,37.11,1053200
18-Jul-16,36.55,37.10,36.55,36.90,1989600
15-Jul-16,35.46,36.32,35.32,36.20,897500
14-Jul-16,35.36,36.08,35.02,35.50,1493600
13-Jul-16,34.85,35.25,34.43,34.96,816800
12-Jul-16,35.00,35.45,34.61,35.10,955000
11-Jul-16,34.70,35.00,34.23,34.63,426100
8-Jul-16,34.09,34.92,34.01,34.70,644200
7-Jul-16,33.74,33.96,33.21,33.71,607300
6-Jul-16,33.18,33.51,32.74,33.40,851300
5-Jul-16,34.64,34.64,32.77,33.15,927800
4-Jul-16,34.90,34.98,34.18,34.68,231500
1-Jul-16,34.36,35.07,34.36,34.80,1060700
30-Jun-16,34.55,34.73,33.99,34.50,1627400
29-Jun-16,35.56,35.77,34.53,34.87,910100
28-Jun-16,34.98,35.47,34.74,35.16,1404700
27-Jun-16,33.81,34.94,33.68,34.44,799700
24-Jun-16,33.90,34.63,33.59,34.43,625200
23-Jun-16,35.00,35.80,34.42,35.30,804000
22-Jun-16,36.72,36.77,34.33,34.70,1129200
21-Jun-16,34.70,36.85,34.65,36.76,1573900
20-Jun-16,34.76,35.14,34.44,34.93,736500
17-Jun-16,33.61,34.56,33.61,34.10,871400
16-Jun-16,32.50,33.65,32.17,33.65,510000
15-Jun-16,32.41,33.08,31.68,32.78,1138700
14-Jun-16,33.28,33.28,32.17,32.40,910600
13-Jun-16,32.90,33.38,32.55,33.28,568900
10-Jun-16,33.52,33.79,33.21,33.41,793400
9-Jun-16,33.09,33.80,32.81,33.52,2659600
8-Jun-16,32.41,33.59,32.32,33.25,4321100
7-Jun-16,33.26,33.60,32.15,32.34,1008300
6-Jun-16,34.04,34.34,32.92,33.50,584400
3-Jun-16,33.33,33.90,33.22,33.87,1239600
2-Jun-16,33.23,33.23,32.66,33.05,988900
1-Jun-16,33.60,33.68,32.52,33.19,857000
31-May-16,32.25,33.49,32.25,33.25,1704200
30-May-16,32.74,33.00,31.99,32.52,855600
27-May-16,33.52,34.03,32.67,32.69,540800
25-May-16,33.67,34.11,33.50,33.60,616400
24-May-16,33.50,34.07,33.28,33.80,437500
23-May-16,33.37,33.55,32.65,33.29,742800
20-May-16,34.02,34.44,33.72,33.90,1440300
19-May-16,32.90,34.00,32.90,33.90,894800
18-May-16,33.19,34.06,32.80,33.30,1493700
17-May-16,35.32,35.79,33.22,33.42,918500
16-May-16,36.59,36.59,35.23,35.23,750600
13-May-16,36.36,36.68,35.62,36.48,1157700
12-May-16,36.65,37.09,36.13,36.75,1320300
11-May-16,36.60,37.04,36.12,36.12,1043800
10-May-16,35.34,36.24,35.34,36.15,801500
9-May-16,34.72,35.15,33.52,34.75,932900
6-May-16,33.79,35.27,33.78,34.72,1002100
5-May-16,34.87,34.88,33.84,33.91,802100
4-May-16,34.11,34.58,33.43,34.49,1653600
3-May-16,33.60,34.64,33.60,34.00,719100
2-May-16,33.10,34.91,32.83,34.01,1611400
29-Apr-16,33.65,34.63,33.00,33.00,1600100
28-Apr-16,34.12,34.35,33.37,34.10,736800
27-Apr-16,33.18,35.30,33.05,34.09,1517700
26-Apr-16,31.65,33.38,31.65,32.95,1502900
25-Apr-16,31.37,31.37,30.03,30.73,1229500
22-Apr-16,32.33,33.16,30.78,31.19,1061700
20-Apr-16,32.99,33.47,32.75,33.05,614000
19-Apr-16,32.49,34.10,32.49,33.35,734200
18-Apr-16,33.17,33.23,32.35,32.49,529000
15-Apr-16,33.07,33.66,32.67,33.16,948000
14-Apr-16,33.02,33.53,32.72,32.78,962500
13-Apr-16,33.65,35.35,32.89,32.89,1627500
12-Apr-16,32.39,33.37,31.84,33.30,1185600
11-Apr-16,32.75,33.05,31.66,32.10,1172700
8-Apr-16,32.16,32.50,31.77,32.35,905800
7-Apr-16,31.54,31.70,30.90,31.50,981500
6-Apr-16,30.95,31.48,30.47,31.30,1129600
5-Apr-16,29.71,31.63,29.66,31.35,1346400
4-Apr-16,30.06,30.28,29.34,29.99,2133500
1-Apr-16,29.48,30.97,29.41,30.30,1200500
31-Mar-16,29.78,30.58,29.60,29.72,1598100
30-Mar-16,29.30,30.90,28.98,30.11,2414900
29-Mar-16,28.33,29.40,28.00,29.30,1056100
28-Mar-16,28.00,28.36,27.65,28.19,892500
24-Mar-16,28.05,28.30,27.50,27.50,851300
23-Mar-16,28.96,29.13,28.58,28.73,719300
22-Mar-16,29.69,29.87,29.02,29.30,795700
21-Mar-16,29.75,30.15,29.20,29.69,1275300
18-Mar-16,28.50,29.65,28.32,29.58,2008600
17-Mar-16,29.00,29.40,28.13,28.55,2106600
16-Mar-16,26.28,27.34,26.15,27.34,1167600
15-Mar-16,26.99,27.17,25.38,26.86,1337400
14-Mar-16,27.19,28.22,26.64,27.33,643900
11-Mar-16,28.00,28.12,26.58,27.19,1215000
10-Mar-16,28.46,28.83,26.86,27.68,2185300
9-Mar-16,28.28,28.94,27.90,27.90,1404000
8-Mar-16,27.84,29.00,27.17,28.00,1750300
7-Mar-16,27.87,28.70,26.89,28.10,1071100
4-Mar-16,25.32,28.39,25.32,27.35,3788600
3-Mar-16,24.95,26.23,24.52,25.26,1652100
2-Mar-16,24.03,24.80,23.79,24.69,890000
1-Mar-16,23.35,24.18,23.19,23.88,1338200
29-Feb-16,23.17,24.16,22.80,22.99,988500
26-Feb-16,23.36,24.27,22.72,22.72,388800
25-Feb-16,22.44,23.33,22.06,23.29,301400
24-Feb-16,22.06,22.59,21.52,22.44,447100
23-Feb-16,23.28,23.35,22.10,22.30,470200
22-Feb-16,21.84,23.21,21.68,23.20,1192100
19-Feb-16,21.47,21.83,21.30,21.41,872500
18-Feb-16,21.49,22.07,21.49,21.81,658100
17-Feb-16,22.00,22.03,21.59,21.70,2411000
16-Feb-16,21.30,21.70,21.00,21.70,1598000
15-Feb-16,21.48,22.02,21.04,21.04,268500
12-Feb-16,20.86,21.41,20.86,21.05,446600
11-Feb-16,21.22,21.46,20.90,21.03,553100
10-Feb-16,21.96,21.98,21.31,21.55,758400
5-Feb-16,22.68,22.80,22.00,22.00,631000
4-Feb-16,22.59,23.44,22.07,22.50,1958900
3-Feb-16,22.12,22.31,21.57,22.31,707800
2-Feb-16,21.93,22.59,21.83,22.00,1324600
1-Feb-16,22.30,22.45,21.69,22.45,1125900
29-Jan-16,20.89,21.93,20.74,21.93,1854900
28-Jan-16,21.16,21.83,20.50,20.70,924200
27-Jan-16,20.57,21.61,20.40,21.16,733700
26-Jan-16,20.26,20.82,19.98,20.57,1786100
22-Jan-16,20.82,21.02,20.40,20.49,1004800
21-Jan-16,20.97,21.94,20.79,20.81,1291900
20-Jan-16,21.65,22.00,20.67,21.12,1052500
19-Jan-16,22.54,22.60,21.45,21.80,1221200
18-Jan-16,22.55,22.55,21.77,21.91,484800
15-Jan-16,22.69,22.92,22.04,22.38,2235200
14-Jan-16,22.57,23.29,22.37,23.11,841900
13-Jan-16,22.89,23.00,22.29,22.71,1649200
12-Jan-16,23.93,24.00,22.58,22.58,2153200
11-Jan-16,24.12,24.76,23.66,24.04,617100
8-Jan-16,23.98,24.41,23.77,24.00,762000
7-Jan-16,23.89,24.01,23.25,24.00,898000
6-Jan-16,23.76,24.49,23.51,24.15,724600
5-Jan-16,23.51,24.19,23.33,23.93,581700
4-Jan-16,24.00,24.17,23.02,23.35,822700
30-Dec-15,24.58,24.82,24.10,24.82,580600
29-Dec-15,25.21,25.87,24.35,24.47,602800
28-Dec-15,25.88,25.89,24.67,25.20,506400
23-Dec-15,25.03,25.85,24.70,25.70,592200
22-Dec-15,24.62,24.98,24.21,24.86,1111600
21-Dec-15,24.54,25.22,24.11,24.50,841400
18-Dec-15,25.00,25.13,24.21,24.66,1360600
17-Dec-15,24.98,25.91,24.98,25.40,808200
16-Dec-15,24.52,25.25,23.72,24.81,822900
15-Dec-15,24.97,25.03,24.36,24.69,554600
14-Dec-15,24.49,24.80,23.76,24.80,461700
11-Dec-15,24.82,24.96,24.46,24.49,520800
10-Dec-15,25.50,25.50,24.36,25.00,523300
9-Dec-15,24.54,25.88,24.34,25.50,982600
8-Dec-15,25.68,25.70,24.20,24.20,725300
7-Dec-15,24.92,26.18,24.40,25.50,789700
4-Dec-15,25.82,26.20,24.23,24.75,1502800
3-Dec-15,26.50,26.80,25.90,26.00,916000
2-Dec-15,25.23,26.23,25.23,25.62,1473500
1-Dec-15,26.77,26.77,25.19,25.40,1609900
30-Nov-15,27.31,27.50,26.37,26.57,1263000
27-Nov-15,27.80,28.07,27.21,27.50,683300
26-Nov-15,27.73,28.35,27.57,28.00,647400
25-Nov-15,28.19,28.21,27.48,27.94,532200
24-Nov-15,28.63,28.75,27.92,28.46,1118300
23-Nov-15,28.40,29.15,28.40,28.82,396000
19-Nov-15,27.60,28.41,27.60,28.23,609500
18-Nov-15,27.01,28.29,26.97,27.41,632900
17-Nov-15,27.29,27.47,26.83,27.05,1059600
16-Nov-15,28.00,28.08,26.65,27.15,961200
13-Nov-15,27.09,27.95,26.80,27.89,731900
12-Nov-15,27.30,27.99,27.02,27.28,797000
11-Nov-15,27.00,27.48,26.61,27.27,831900
10-Nov-15,27.99,27.99,26.27,27.01,1087500
9-Nov-15,28.97,28.97,28.13,28.13,987000
6-Nov-15,28.97,29.43,27.66,29.00,962300
5-Nov-15,28.05,29.68,27.52,29.19,1557400
4-Nov-15,27.01,28.49,27.01,28.04,1538400
3-Nov-15,26.01,26.78,26.01,26.78,1387600
30-Oct-15,24.76,26.00,24.61,26.00,667600
29-Oct-15,25.15,25.69,24.77,24.77,713600
28-Oct-15,24.97,25.53,24.44,25.53,1104600
27-Oct-15,25.73,25.73,24.97,24.97,760600
26-Oct-15,25.60,26.08,25.38,25.73,606700
23-Oct-15,25.88,26.12,25.40,25.60,1499100
22-Oct-15,24.41,25.12,24.06,24.50,1337200
21-Oct-15,24.99,24.99,24.18,24.40,715400
20-Oct-15,25.51,25.59,24.72,25.00,1011400
19-Oct-15,25.29,25.84,24.77,25.50,733200
16-Oct-15,24.90,25.52,24.64,25.30,1257200
15-Oct-15,25.20,26.19,24.68,24.90,811700
14-Oct-15,25.82,26.20,24.91,25.40,1778500
13-Oct-15,26.61,26.98,25.70,26.00,1700500
9-Oct-15,26.17,26.97,26.08,26.61,1596800
8-Oct-15,25.11,26.80,25.11,26.05,1916500
7-Oct-15,25.58,25.78,25.10,25.30,2262500
6-Oct-15,25.12,25.91,24.57,24.90,1028700
5-Oct-15,25.25,25.70,24.40,25.43,1004200
2-Oct-15,23.70,24.55,23.29,24.55,1184800
1-Oct-15,24.62,24.76,23.46,23.70,1207600
30-Sep-15,24.38,25.03,24.28,24.44,882800
29-Sep-15,24.76,25.44,24.01,24.01,962900
28-Sep-15,24.10,25.14,23.72,24.76,1036300
25-Sep-15,25.27,25.30,24.22,24.60,769100
24-Sep-15,23.49,25.46,23.40,25.05,898300
23-Sep-15,24.51,25.32,23.58,24.44,1036600
22-Sep-15,22.45,24.44,22.44,24.40,1435800
21-Sep-15,22.25,23.10,22.15,22.89,645600
18-Sep-15,23.62,24.68,22.38,22.38,1026900
17-Sep-15,22.92,24.39,22.35,24.00,1453200
16-Sep-15,22.00,23.02,21.95,22.92,2296300
15-Sep-15,21.60,21.95,21.21,21.95,1077200
14-Sep-15,21.44,22.19,21.32,21.85,1713100
11-Sep-15,20.95,21.60,20.75,21.50,2905200
10-Sep-15,21.11,21.37,20.69,21.10,3234900
9-Sep-15,21.67,21.78,21.13,21.66,1834500
8-Sep-15,21.62,21.81,21.36,21.64,1263800
4-Sep-15,21.37,22.34,21.11,21.50,1587000
3-Sep-15,21.27,21.88,21.13,21.79,1106700
2-Sep-15,21.52,21.91,21.04,21.11,2021100
1-Sep-15,22.16,22.40,21.16,21.45,2913100
31-Aug-15,23.83,23.83,22.41,22.41,2254200
28-Aug-15,23.60,24.40,23.34,24.00,1488600
27-Aug-15,23.41,24.09,23.32,23.91,1059400
26-Aug-15,23.25,23.57,22.80,23.39,1061800
25-Aug-15,23.70,24.00,23.08,23.08,1052400
24-Aug-15,22.30,23.66,21.50,23.50,1468100
21-Aug-15,23.58,23.76,22.99,23.71,1479600
20-Aug-15,24.55,24.55,23.79,23.84,1128400
19-Aug-15,24.78,24.96,24.25,24.72,1103200
18-Aug-15,24.90,25.25,24.71,24.93,1831900
17-Aug-15,24.80,25.41,24.80,25.15,1065100
14-Aug-15,25.52,25.74,24.81,24.90,1192600
13-Aug-15,26.25,26.36,25.20,25.90,935900
12-Aug-15,26.85,26.99,26.00,26.13,735500
11-Aug-15,26.71,27.00,26.50,26.85,626700
10-Aug-15,26.50,27.07,26.24,27.00,1097500
7-Aug-15,26.22,26.52,26.04,26.50,1689600
