Date,Open,High,Low,Close,Volume
22-Sep-16,15.42,15.50,15.08,15.24,19216100
21-Sep-16,14.73,15.27,14.64,15.27,35418300
20-Sep-16,14.35,14.38,14.10,14.36,15122100
19-Sep-16,14.25,14.47,14.10,14.25,21181200
16-Sep-16,14.01,14.19,13.83,13.95,24667000
15-Sep-16,14.20,14.35,14.04,14.15,11353200
14-Sep-16,14.08,14.36,13.94,14.13,19630300
13-Sep-16,14.53,14.61,13.81,13.82,24716700
12-Sep-16,14.36,14.88,14.22,14.85,25207600
9-Sep-16,15.00,15.04,14.48,14.49,22118400
8-Sep-16,15.32,15.49,15.15,15.21,19790100
6-Sep-16,15.15,15.44,14.94,15.44,18200600
5-Sep-16,15.55,15.60,15.12,15.12,13053600
2-Sep-16,15.04,15.53,15.03,15.49,16269700
1-Sep-16,14.65,14.91,14.52,14.90,21624500
31-Aug-16,15.07,15.07,14.47,14.47,35627700
30-Aug-16,15.30,15.53,15.06,15.12,18844900
29-Aug-16,15.14,15.58,15.03,15.43,12152200
26-Aug-16,15.50,15.78,15.00,15.07,22468900
25-Aug-16,15.36,15.65,15.34,15.41,17739600
24-Aug-16,15.69,15.78,15.23,15.30,23204900
23-Aug-16,15.85,16.18,15.78,15.81,20697500
22-Aug-16,15.95,16.03,15.56,15.57,20443700
19-Aug-16,16.06,16.25,15.85,16.17,12799200
18-Aug-16,16.14,16.29,15.91,15.96,16463000
17-Aug-16,16.00,16.15,15.77,16.12,20399200
16-Aug-16,16.09,16.34,16.03,16.10,17555500
15-Aug-16,15.63,15.92,15.46,15.92,19415500
12-Aug-16,15.59,15.81,15.41,15.44,23231400
11-Aug-16,15.40,15.79,15.23,15.75,21490200
10-Aug-16,16.00,16.00,15.38,15.40,29520400
9-Aug-16,15.77,16.09,15.76,15.99,19880000
8-Aug-16,15.75,15.89,15.56,15.74,13539900
5-Aug-16,15.75,15.80,15.50,15.62,16211400
4-Aug-16,15.26,15.66,15.12,15.48,31703300
3-Aug-16,14.65,15.48,14.47,15.47,28400700
2-Aug-16,14.63,14.97,14.37,14.66,17461200
1-Aug-16,15.25,15.42,14.55,14.55,18857100
29-Jul-16,14.79,15.01,14.59,15.01,20755500
28-Jul-16,15.38,15.38,14.71,14.96,25815500
27-Jul-16,14.81,15.23,14.80,15.08,25370000
26-Jul-16,14.15,14.69,14.09,14.59,26470900
25-Jul-16,14.18,14.18,13.88,13.99,12881800
22-Jul-16,14.00,14.05,13.73,13.94,14920400
21-Jul-16,13.90,14.24,13.83,14.04,29623900
20-Jul-16,13.65,13.86,13.41,13.63,20121200
19-Jul-16,13.75,13.87,13.53,13.68,28927000
18-Jul-16,13.61,14.19,13.50,14.08,22528700
15-Jul-16,13.79,14.04,13.63,13.74,17650900
14-Jul-16,14.37,14.45,13.73,13.82,27865600
13-Jul-16,13.97,14.22,13.60,14.17,30131900
12-Jul-16,13.95,14.28,13.88,13.97,27868300
11-Jul-16,13.29,13.50,13.23,13.50,16138500
8-Jul-16,13.03,13.16,12.86,13.02,12233700
7-Jul-16,13.21,13.52,12.69,12.78,23217600
6-Jul-16,12.70,13.21,12.55,13.19,18667900
5-Jul-16,13.29,13.45,12.86,12.90,20911500
4-Jul-16,13.54,13.68,13.40,13.51,8872000
1-Jul-16,13.05,13.35,12.81,13.24,22477000
30-Jun-16,12.96,13.10,12.81,13.03,33431000
29-Jun-16,12.85,13.05,12.72,12.87,25691600
28-Jun-16,12.33,12.65,12.30,12.56,19157600
27-Jun-16,12.31,12.45,11.88,11.99,21562400
24-Jun-16,12.69,12.95,12.20,12.20,39301700
23-Jun-16,13.00,13.44,12.87,13.40,19092000
22-Jun-16,12.60,12.99,12.57,12.75,24404800
21-Jun-16,12.44,12.55,12.10,12.44,18427100
20-Jun-16,12.70,12.78,12.44,12.46,21309600
17-Jun-16,12.40,12.67,12.20,12.26,27764600
16-Jun-16,12.05,12.35,11.87,12.18,22876100
15-Jun-16,11.93,12.45,11.90,12.19,32520900
14-Jun-16,12.00,12.34,11.67,11.81,28502700
13-Jun-16,11.73,12.20,11.66,12.11,23211300
10-Jun-16,12.10,12.18,11.90,11.90,20313500
9-Jun-16,12.90,13.02,12.37,12.50,28573100
8-Jun-16,13.17,13.26,13.02,13.15,24420600
7-Jun-16,12.90,13.28,12.81,12.99,28794700
6-Jun-16,13.00,13.11,12.60,13.01,26674300
3-Jun-16,11.99,12.71,11.88,12.62,26819500
2-Jun-16,11.34,11.74,11.17,11.72,17390300
1-Jun-16,11.09,11.34,10.85,11.34,20978800
31-May-16,11.20,11.74,11.09,11.24,30929200
30-May-16,11.43,11.55,11.27,11.37,6226000
27-May-16,11.70,11.79,11.39,11.39,15054500
25-May-16,11.50,11.72,11.36,11.63,16744000
24-May-16,11.66,11.79,11.26,11.35,20006600
23-May-16,11.06,11.69,10.96,11.50,26561900
20-May-16,12.15,12.26,11.36,11.40,27100400
19-May-16,11.63,11.90,11.33,11.85,34425000
18-May-16,12.15,12.48,11.93,11.97,25068700
17-May-16,12.25,12.63,11.95,12.40,35381500
16-May-16,12.11,12.69,12.01,12.05,36918700
13-May-16,12.70,12.93,12.03,12.07,44059300
12-May-16,13.05,13.20,12.53,12.76,34812400
11-May-16,13.40,13.47,12.82,13.02,37648500
10-May-16,12.59,13.13,12.43,13.13,37064800
9-May-16,12.96,13.07,12.29,12.35,58796800
6-May-16,13.03,13.87,12.92,13.52,39920300
5-May-16,14.15,14.16,13.05,13.27,42632500
4-May-16,13.88,14.18,13.65,13.83,57007800
3-May-16,15.08,15.25,14.61,14.61,36472800
2-May-16,15.92,16.13,15.19,15.63,33834000
29-Apr-16,15.86,16.35,15.58,15.74,54049700
28-Apr-16,15.99,16.35,15.33,15.55,48906100
27-Apr-16,14.79,15.42,14.25,15.27,48100800
26-Apr-16,14.24,14.81,13.61,14.81,48726400
25-Apr-16,14.95,14.98,14.15,14.16,38538600
22-Apr-16,15.59,16.01,15.30,15.31,46033100
20-Apr-16,15.88,16.87,15.88,16.68,54134100
19-Apr-16,15.10,15.84,15.01,15.84,47863700
18-Apr-16,14.35,14.84,13.94,14.57,31249700
15-Apr-16,13.92,14.34,13.42,14.29,30620300
14-Apr-16,15.15,15.24,13.56,13.80,33250500
13-Apr-16,14.80,15.43,14.66,14.80,55809200
12-Apr-16,13.13,14.24,13.07,14.20,46747500
11-Apr-16,12.58,12.88,12.56,12.80,29158300
8-Apr-16,11.60,12.19,11.48,12.19,32191200
7-Apr-16,11.60,11.69,11.21,11.25,17925900
6-Apr-16,11.51,11.83,11.28,11.40,18996200
5-Apr-16,11.19,11.85,11.00,11.68,21704000
4-Apr-16,11.88,12.15,11.29,11.31,23583600
1-Apr-16,11.14,12.04,11.04,11.87,33763500
31-Mar-16,11.50,11.69,11.22,11.38,20954100
30-Mar-16,11.52,12.07,11.43,11.71,36400700
29-Mar-16,11.28,11.60,10.93,11.31,27603700
28-Mar-16,11.76,11.84,11.16,11.39,26342700
24-Mar-16,10.27,11.40,10.15,11.37,33890700
23-Mar-16,11.08,11.19,10.48,10.50,23456100
22-Mar-16,11.05,11.38,11.00,11.30,22865500
21-Mar-16,11.30,11.63,11.05,11.20,31347100
18-Mar-16,11.00,11.27,10.84,11.27,44494100
17-Mar-16,11.39,11.45,10.59,10.94,48949800
16-Mar-16,9.77,10.55,9.66,10.55,31966100
15-Mar-16,9.30,9.69,9.25,9.69,30259500
14-Mar-16,10.25,10.35,9.67,9.70,31625400
11-Mar-16,10.20,10.65,10.05,10.15,47557100
10-Mar-16,11.05,11.13,9.95,10.13,78113100
9-Mar-16,11.50,11.55,10.55,10.88,53662400
8-Mar-16,12.18,12.35,11.24,11.24,63079700
7-Mar-16,12.45,13.07,12.16,12.78,71534000
4-Mar-16,12.01,12.39,11.35,11.72,77232000
3-Mar-16,10.16,11.08,9.78,10.96,60817300
2-Mar-16,9.25,10.03,9.16,9.99,50232400
1-Mar-16,8.87,9.24,8.76,9.24,40399500
29-Feb-16,8.22,8.67,8.17,8.56,29729900
26-Feb-16,8.39,8.48,8.01,8.08,27387200
25-Feb-16,8.15,8.38,8.04,8.15,36577800
24-Feb-16,8.58,8.70,8.41,8.60,34610900
23-Feb-16,9.27,9.66,8.94,9.00,31745300
22-Feb-16,9.20,9.44,9.08,9.40,38935200
19-Feb-16,8.26,8.81,8.22,8.69,31374200
18-Feb-16,8.60,8.74,8.30,8.35,31845300
17-Feb-16,8.47,9.05,8.38,8.59,45180400
16-Feb-16,7.76,8.30,7.73,8.26,38711400
15-Feb-16,7.84,7.93,7.77,7.79,16961900
12-Feb-16,7.58,7.73,7.54,7.56,26975500
11-Feb-16,7.52,7.57,7.26,7.41,25373300
10-Feb-16,7.48,7.81,7.41,7.73,16606700
5-Feb-16,7.72,8.05,7.57,7.79,30693400
4-Feb-16,7.30,8.01,7.13,7.75,71469600
3-Feb-16,6.75,7.00,6.64,6.96,31670800
2-Feb-16,7.00,7.13,6.57,6.57,26106000
1-Feb-16,7.18,7.26,6.96,7.25,32318800
29-Jan-16,7.15,7.26,6.83,7.24,43243700
28-Jan-16,7.18,7.53,6.95,7.09,30903900
27-Jan-16,6.76,7.32,6.71,7.18,41047100
26-Jan-16,6.55,6.82,6.44,6.82,34548000
22-Jan-16,7.05,7.19,6.66,6.73,32505600
21-Jan-16,6.88,7.29,6.86,6.86,29087400
20-Jan-16,6.82,6.99,6.65,6.95,32207100
19-Jan-16,7.36,7.43,6.99,7.04,28668100
18-Jan-16,7.32,7.51,6.95,6.95,23914300
15-Jan-16,7.15,7.31,7.00,7.29,32410400
14-Jan-16,7.11,7.54,6.92,7.52,34349300
13-Jan-16,7.43,7.60,6.88,7.04,42239900
12-Jan-16,8.05,8.05,7.25,7.26,29528900
11-Jan-16,8.18,8.38,7.85,7.92,26711600
8-Jan-16,8.73,8.86,8.20,8.20,24660500
7-Jan-16,8.89,8.93,8.56,8.61,29384000
6-Jan-16,9.57,9.59,9.15,9.15,24197200
5-Jan-16,10.01,10.10,9.84,9.90,9503200
4-Jan-16,9.87,10.22,9.86,10.00,14898600
30-Dec-15,10.07,10.32,10.04,10.25,15225200
29-Dec-15,10.09,10.20,9.90,10.12,10456800
28-Dec-15,10.32,10.49,10.07,10.09,9969600
23-Dec-15,10.39,10.64,10.28,10.52,16729700
22-Dec-15,9.81,10.07,9.75,10.05,12124300
21-Dec-15,10.59,10.75,9.74,9.74,27066000
18-Dec-15,10.05,10.42,10.03,10.42,38979500
17-Dec-15,10.70,10.76,10.19,10.23,20916800
16-Dec-15,10.17,10.69,10.15,10.48,28418900
15-Dec-15,10.05,10.35,10.01,10.28,24844900
14-Dec-15,9.61,9.90,9.53,9.87,16885000
11-Dec-15,9.70,9.76,9.40,9.59,22302900
10-Dec-15,9.58,10.02,9.57,10.02,21354100
9-Dec-15,9.45,9.89,9.40,9.65,23004300
8-Dec-15,9.57,9.57,9.08,9.32,27460500
7-Dec-15,10.04,10.11,9.81,9.84,16847800
4-Dec-15,10.18,10.26,9.91,9.99,20115800
3-Dec-15,10.66,10.73,10.21,10.27,19082200
2-Dec-15,10.45,10.50,10.00,10.39,29894900
1-Dec-15,10.65,10.80,10.34,10.37,22249400
30-Nov-15,10.76,10.94,10.51,10.63,33188500
27-Nov-15,11.62,11.67,11.08,11.08,20867600
26-Nov-15,11.78,11.88,11.67,11.76,8519300
25-Nov-15,11.80,12.03,11.70,11.70,14480700
24-Nov-15,11.76,12.15,11.55,12.03,29441200
23-Nov-15,12.00,12.05,11.72,11.83,20258900
19-Nov-15,12.17,12.36,12.02,12.14,17140700
18-Nov-15,12.06,12.40,11.93,11.96,25712300
17-Nov-15,12.53,12.56,12.03,12.07,20213500
16-Nov-15,12.80,12.93,12.41,12.50,18119400
13-Nov-15,12.57,12.77,12.44,12.76,14520700
12-Nov-15,12.70,12.70,12.43,12.57,15209600
11-Nov-15,12.87,13.08,12.63,12.70,13449600
10-Nov-15,12.83,12.87,12.63,12.73,13952900
9-Nov-15,13.03,13.25,12.85,12.90,14050300
6-Nov-15,13.26,13.45,12.98,13.06,34898000
5-Nov-15,14.17,14.17,13.61,13.85,17556000
4-Nov-15,14.71,14.89,13.91,14.08,22242000
3-Nov-15,14.13,14.50,13.78,14.40,26361200
30-Oct-15,13.49,14.03,13.42,14.03,20401200
29-Oct-15,13.28,13.55,13.25,13.33,21775700
28-Oct-15,13.70,13.78,13.45,13.56,31963100
27-Oct-15,14.34,14.39,13.87,13.98,19133800
26-Oct-15,15.02,15.02,14.35,14.35,16781100
23-Oct-15,15.31,15.57,14.82,14.98,26616200
22-Oct-15,14.92,15.18,14.75,14.83,18351400
21-Oct-15,14.35,14.87,14.35,14.74,17494100
20-Oct-15,14.75,14.77,14.26,14.35,14969500
19-Oct-15,15.18,15.18,14.58,14.65,21632300
16-Oct-15,15.17,15.29,14.73,15.19,31760100
15-Oct-15,15.25,15.44,14.87,15.43,19680300
14-Oct-15,14.99,15.31,14.98,15.18,29028000
13-Oct-15,15.61,15.80,14.93,14.98,26549100
9-Oct-15,16.22,16.35,16.03,16.26,18426100
8-Oct-15,15.76,16.07,15.58,15.94,15090300
7-Oct-15,15.80,16.28,15.65,15.85,48193000
6-Oct-15,14.74,14.99,14.52,14.92,17194400
5-Oct-15,14.60,14.85,14.52,14.69,15234300
2-Oct-15,13.70,14.46,13.60,14.46,26217100
1-Oct-15,13.41,14.07,13.35,13.92,24659300
30-Sep-15,13.60,13.65,13.05,13.32,17697300
29-Sep-15,13.30,13.54,13.10,13.22,20327300
28-Sep-15,13.78,13.92,13.19,13.19,32616200
25-Sep-15,14.96,15.07,14.15,14.24,20804800
